NEIGHBORHOOD,MEDIAN INCOME,POPULATION PER SQMI,income level,Lat,Lon
Hidden Hills,203199,1100,high,34.164091,-118.657837
Rolling Hills,184777,893,high,33.7668041,-118.3496623
Beverly Crest,169282,1318,high,34.1167701,-118.4322607
Pacific Palisades,168008,1048,high,34.0480643,-118.5264706
Palos Verdes Estates,167344,2822,high,33.7872386,-118.401813
San Marino,158855,3428,high,34.1215947,-118.105739
La Canada Flintridge,148996,2369,high,34.1998302,-118.2005236
Rolling Hills Estates,145628,2185,high,33.7877943,-118.3581284
Malibu,138215,629,high,34.035591,-118.689423
La Habra Heights,137034,979,high,33.9604546,-117.9504255
Manhattan Beach,136481,8573,high,33.8915985,-118.3951241
Rancho Palos Verdes,128321,3084,high,33.7483311,-118.3707683
Westlake Village,126550,1534,high,34.1460234,-118.8061794
Calabasas,126178,1247,high,34.1446643,-118.644097
Bradbury,123773,658,high,34.1469511,-117.970898
Porter Ranch,121428,4462,high,34.2818164,-118.5612714
Agoura Hills,117608,2495,high,34.14791,-118.7657042
Brentwood,112927,2059,high,34.0521403,-118.4740699
Cheviot Hills,111813,4520,high,34.0405878,-118.4098875
Hermosa Beach,109509,12481,high,33.86428,-118.39591
Walnut,106893,3329,high,34.0202894,-117.8653386
Beverlywood,105253,7654,high,34.0459334,-118.39492
West Hills,103008,4551,high,34.2032325,-118.645476
Cerritos,98212,5851,high,33.8644291,-118.0539323
Beverly Hills,96312,5933,high,34.0696501,-118.3963062
Century City,95135,7869,high,34.0573589,-118.4146078
Diamond Bar,92414,3754,high,34.0286226,-117.8103367
Redondo Beach,92263,10129,high,33.8455911,-118.3886766
Woodland Hills,89946,4040,high,34.1684364,-118.6058382
Claremont,89804,2124,high,34.0966764,-117.7197785
Santa Clarita,88987,2745,high,34.3916641,-118.542586
Sierra Madre,88008,3563,high,34.1616729,-118.052845
West Los Angeles,86403,12061,high,34.0468546,-118.430254
Hancock Park,85277,6459,high,34.0736782,-118.335055
San Dimas,84953,2244,high,34.1066756,-117.8067257
Chatsworth,84456,2301,high,34.2595715,-118.6023247
El Segundo,83925,2925,high,33.917028,-118.4156337
Granada Hills,83911,3344,high,34.2661558,-118.5174342
La Mirada,83514,5966,high,33.9060971,-118.0107092
La Verne,83352,3863,high,34.1008426,-117.7678355
Shadow Hills,82796,1023,high,34.2619469,-118.3517463
