rank,NEIGHBORHOOD,MEDIAN INCOME
1,Bel-Air,"$207,938"
2,Hidden Hills,"$203,199"
3,Rolling Hills,"$184,777"
4,Beverly Crest,"$169,282"
5,Pacific Palisades,"$168,008"
6,Palos Verdes Estates,"$167,344"
7,San Marino,"$158,855"
8,La Cañada Flintridge,"$148,996"
9,Rolling Hills Estates,"$145,628"
10,Malibu,"$138,215"
11,La Habra Heights,"$137,034"
12,Manhattan Beach,"$136,481"
13,Unincorporated Santa Monica Mountains,"$132,997"
14,Rancho Palos Verdes,"$128,321"
15,Westlake Village,"$126,550"
16,Calabasas,"$126,178"
17,West San Dimas,"$125,984"
18,Bradbury,"$123,773"
19,Stevenson Ranch,"$122,833"
20,Porter Ranch,"$121,428"
21,Topanga,"$120,319"
22,Ladera Heights,"$117,925"
23,Agoura Hills,"$117,608"
24,Leona Valley,"$117,526"
25,Brentwood,"$112,927"
26,Cheviot Hills,"$111,813"
27,Hermosa Beach,"$109,509"
28,Castaic,"$108,693"
29,Hollywood Hills West,"$108,199"
30,Walnut,"$106,893"
31,Hasley Canyon,"$106,489"
32,Agua Dulce,"$106,078"
33,Beverlywood,"$105,253"
34,Northwest Palmdale,"$103,013"
35,West Hills,"$103,008"
36,Cerritos,"$98,212"
37,Beverly Hills,"$96,312"
38,Century City,"$95,135"
39,North Whittier,"$93,841"
40,Unincorporated Santa Susana Mountains,"$93,825"
41,Castaic Canyons,"$93,248"
42,San Pasqual,"$92,917"
43,Ridge Route,"$92,822"
44,Marina del Rey,"$92,763"
45,Diamond Bar,"$92,414"
46,Redondo Beach,"$92,263"
47,Playa del Rey,"$91,339"
48,Woodland Hills,"$89,946"
49,Claremont,"$89,804"
50,Santa Clarita,"$88,987"
51,Sierra Madre,"$88,008"
52,West Los Angeles,"$86,403"
53,Ramona,"$86,325"
54,Tujunga Canyons,"$85,625"
55,Hancock Park,"$85,277"
56,San Dimas,"$84,953"
57,Chatsworth,"$84,456"
58,Acton,"$83,983"
59,El Segundo,"$83,925"
60,Granada Hills,"$83,911"
61,La Mirada,"$83,514"
62,La Verne,"$83,352"
63,Shadow Hills,"$82,796"
64,La Crescenta-Montrose,"$82,693"
65,Altadena,"$82,676"
66,Glendora,"$81,336"
67,Vernon,"$81,279"
68,View Park-Windsor Hills,"$81,214"
69,Desert View Highlands,"$80,867"
70,Hacienda Heights,"$80,762"
71,Lakewood,"$78,764"
72,Green Valley,"$78,712"
73,Encino,"$78,529"
74,Quartz Hill,"$77,498"
75,Westchester,"$77,473"
76,Torrance,"$76,866"
77,South Pasadena,"$76,229"
78,Elizabeth Lake,"$75,951"
79,Arcadia,"$75,808"
80,Mission Hills,"$75,675"
81,Studio City,"$75,657"
82,Lake Hughes,"$74,918"
83,East Pasadena,"$73,690"
84,Tarzana,"$73,195"
85,Toluca Lake,"$73,111"
86,Angeles Crest,"$72,841"
87,Rowland Heights,"$72,638"
88,Rancho Dominguez,"$72,097"
89,West Covina,"$71,898"
90,Carthay,"$71,398"
91,Culver City,"$70,774"
92,Carson,"$70,645"
93,Southeast Antelope Valley,"$70,134"
94,Valinda,"$70,037"
95,East La Mirada,"$69,930"
96,Rancho Park,"$69,724"
97,Sherman Oaks,"$69,651"
98,Hollywood Hills,"$69,277"
99,Santa Monica,"$69,013"
100,Sunland,"$68,720"
101,Westwood,"$68,716"
102,Playa Vista,"$68,597"
103,Duarte,"$68,539"
104,Charter Oak,"$68,092"
105,Val Verde,"$68,073"
106,Lake View Terrace,"$67,985"
107,Northridge,"$67,906"
